C7,C9,C10,C7P,C9P,C10P,CL
0.0183606,-0.469066,0.582975,-0.0350386,0.495762,-0.229896,184.338,0
0.0243866,-0.515179,0.688317,-0.00805962,0.345447,0.0891337,173.527,99
0.0163318,-0.837701,0.83348,0.00732503,0.921858,0.114412,171.67,95
0.000895647,-0.975268,0.665867,0.0571405,1.32062,0.739015,170.847,95
-0.0224028,-0.920148,0.79416,0.0217178,1.8798,0.822585,173.387,99
-0.00906578,-0.740501,0.893604,0.0492749,1.18174,1.02128,178.774,0
-0.0343474,-1.00097,0.992397,0.0470823,1.26164,0.976834,182.922,0
-0.0203895,-0.662927,0.54295,0.0700559,0.610229,0.587259,177.758,0
0.00322913,-1.11083,0.363352,0.0757467,0.887558,-0.00230567,171.429,95
-0.0103854,-1.46509,0.354053,0.0499048,0.6771,0.0313968,168.106,90
0.00506062,-0.648477,0.629597,0.0419994,0.678148,0.183784,168.773,90
-0.00126348,-1.4555,0.200059,0.0644612,0.501531,-0.205022,169.774,90
-0.0155746,-1.33523,0.418578,0.0409404,0.56883,-0.102125,165.595,68
0.0344388,-0.947829,0.574429,0.0313574,-0.0306037,0.136484,169.148,90
0.0500848,-0.987629,0.319327,0.0539298,0.0893268,-0.0250457,169.596,90
0.054872,-1.23797,0.0812245,0.0287573,-0.0416627,-0.082295,166.927,90
0.0165167,-1.02584,0.232166,0.0333145,-0.67922,-0.463975,164.522,68
0.0150298,-1.45949,0.322289,0.047095,-0.0176075,-0.228134,163.895,68
-0.0289739,-1.1867,0.208275,-0.00350404,0.51434,-0.319519,167.728,90
0.0398631,-1.47297,0.26796,0.0225696,0.785999,-0.16784,166.163,68
0.0287323,-1.20603,0.444955,0.0205504,0.714634,0.00883043,161.16,68
0.0263527,-1.24045,0.304576,0.0192776,0.353279,-0.222988,160.444,68
-0.00195179,-1.13229,0.379369,0.0122466,0.38721,0.0496262,159.425,68
-0.00899142,-0.849485,0.359999,0.0392637,-0.0719266,-0.0457342,163.632,68
-0.00454736,-0.95459,0.174051,0.0255422,-0.170079,0.140339,168.627,90
-0.000252477,-1.19211,0.428718,0.0153739,-0.722292,-0.784569,168.282,90
0.00371545,-0.922181,0.35765,0.041564,-0.510707,-0.634616,168.398,90
0.00674683,-0.841688,0.441924,0.016906,0.612326,0.304577,162.26,68
0.00731149,-0.741462,0.336346,0.0229531,0.282868,0.194522,164.119,68
0.0242099,-0.860592,0.374636,0.0128873,0.609282,0.21755,162.798,68
-0.0074497,-1.35023,0.108527,-0.00391584,0.833776,0.0784766,165.261,68
-0.0162786,-1.2095,0.303798,0.0195459,0.313253,0.106709,162.919,68
-0.00888034,0.223772,0.536371,-0.0235613,-0.0546805,0.0288735,197.557,0
0.0530908,-0.272156,0.22762,-0.0322348,0.30707,0.135647,194.78,0
0.00250515,-0.75488,0.581841,-0.0183517,1.22741,-0.158776,185.372,0
-0.0105513,-0.584251,0.253052,-0.00914478,0.705988,0.621871,178.323,0
0.0571726,-0.958032,0.205297,-0.00246244,-0.121662,0.211409,179.956,0
0.00486171,-0.756468,0.653435,0.00656055,0.141698,0.553352,178.135,0
-0.0272406,-0.823098,0.555982,0.00619347,-0.772568,-0.254679,176.329,0
0.00175867,-0.670571,0.558207,0.0233028,-0.379324,-0.293351,169.522,90
0.0293404,-0.949218,0.226062,-0.00423874,0.0208706,-0.396358,165.75,68
0.00379091,-0.747251,0.139499,0.00768488,0.703615,0.254172,166.284,68
0.0112497,-0.821419,0.378478,0.059478,0.762476,0.295236,167.405,90
-0.0244532,-0.854651,0.464453,0.0411647,0.493996,0.423787,169.082,90
-0.0390413,-0.893129,0.54908,0.0142237,0.416176,0.179139,168.217,90
-0.00178923,-1.37382,0.397391,0.0420892,0.33345,-0.217242,164.115,68
0.0259064,-0.968687,0.496278,0.00137564,0.315534,-0.140475,163.795,68
0.00435926,-0.994201,0.19052,-0.00329441,-0.0217253,-0.0342265,162.975,68
-0.0137888,-1.18953,0.111026,-0.00400046,-0.120997,-0.442631,163.214,68
-0.0120596,-0.910095,0.224678,0.0124327,0.662899,0.221643,162.083,68
-0.0179019,-0.813835,0.407513,-0.00536985,1.06001,0.343834,165.682,68
-0.0027345,-1.22009,0.857796,0.0117265,0.445307,0.0414844,170.051,90
0.0273849,-0.643723,0.477593,0.00248539,0.85401,0.634783,173.014,99
0.0161881,-0.902795,0.770131,0.023792,0.942621,0.63043,167.874,90
0.0195524,-0.952936,0.295142,0.0312862,0.628558,0.0638855,161.272,68
-0.00499616,-0.909071,0.185679,0.0429552,0.427722,-0.0350453,162.002,68
0.0220518,-1.19164,0.422463,0.0292354,0.165691,-0.266303,161.609,68
0.00485127,-0.824653,0.270286,0.0214027,0.2484,0.0832696,161.722,68
0.00556051,-0.84739,0.062825,0.0425796,-0.426368,-0.440684,166.237,68
0.0145559,-1.08766,-0.036144,0.0347955,-0.597701,-0.746537,168.268,90
0.000511737,-0.65088,0.124598,0.0251077,-0.720171,-0.569278,172.851,99
0.0188762,-1.54583,0.262944,0.0255284,-0.931209,-0.6441,166.842,90
-0.00191896,-1.31184,0.317292,0.0398382,-0.722166,-0.452998,164.956,68
-0.0139471,-1.24597,0.0585199,0.0262149,0.241564,-0.462765,165.762,68
0.0347468,-1.24068,0.263988,0.0186415,0.438075,-0.365422,165.375,68
0.0406146,-1.00039,0.251436,0.0243025,0.376693,0.0771986,163.501,68
-0.0157325,-1.09444,0.553999,0.0471019,1.13726,0.513748,166.783,90
-0.0122666,-0.897567,0.343102,0.0525716,1.05887,0.161273,168.155,90
-0.00536941,-1.27547,0.479936,0.0473517,0.275106,-0.0458125,164.141,68
0.0314573,-1.43966,-0.0421153,0.0156736,0.212114,0.0824768,168.87,90
0.00172794,-0.991562,0.410672,0.0395745,0.433795,0.517599,169.938,90
-0.0191766,-1.43056,0.643682,0.0299369,0.737278,0.0358101,170.673,95
0.0343654,-1.63247,0.280829,0.0421424,0.749764,-0.0821694,169.07,90
0.0206788,-1.04401,0.221685,0.0196736,0.2813,0.0198703,159.869,68
0.039205,-1.43455,0.50839,0.0575608,0.533543,0.104712,168.609,90
0.0559444,-1.17276,0.18733,0.0267617,-0.175799,-0.377725,166.823,90
0.00584119,-1.06188,0.38009,0.0375502,-0.556509,-0.317198,164.239,68
-0.0207943,-1.11763,0.408317,0.0380121,-0.094562,-0.359161,164.608,68
