lumpiness,entropy,ACF1,lshift,vchange,cpoints,fspots,linearity,curvature,spikiness,KLscore,change.idx
1.234883768,0.922467588,0.424191628,1.179597422,2.010512343,348,56,0.015599412,-4.07E-11,3.35E-06,57.78301334,454
1.482479369,0.858864142,0.71681811,1.3353196,0.860138922,253,12,-0.041320512,1.07E-10,4.06E-06,27.52393907,244
2.696645561,0.872626751,0.704265584,1.315686795,1.165039193,363,347,0.029610026,-8.39E-11,2.06E-06,146.8577461,1281
0.334118399,0.880552052,0.623913566,1.213382069,1.088850131,268,7,-0.047654408,2.08E-10,1.94E-06,19.97470294,701
1.754481477,0.765568095,0.876575687,1.491113405,1.256514035,138,53,0.011461131,1.13E-10,6.64E-06,70.46610636,399
8.537475772,0.795405451,0.864849816,1.598316096,0.999546444,160,280,0.032831204,1.51E-10,3.21E-06,284.5025938,1346
0.540234933,0.900713958,0.563040303,1.047149164,0.926662665,323,15,0.51294958,6.22E-11,2.30E-06,8.644182896,394
0.705122658,0.788837347,0.874260433,1.400299409,0.909681142,84,13,0.130180979,2.04E-10,3.53E-06,66.18585457,528
3.141243997,0.801341539,0.866218335,1.71077138,1.187163588,84,56,0.134500319,2.58E-10,1.89E-06,301.8354066,1574
0.575223191,0.90299465,0.563904094,1.104838078,0.793530143,165,37,0.181105403,3.04E-10,2.36E-06,13.67709361,631
0.833154422,0.768339929,0.880363364,1.869287051,0.99725743,178,13,-0.55371342,-1.03E-09,2.37E-06,38.90674068,584
1.098213224,0.823138503,0.833723892,1.513198747,1.166477021,489,13,-0.528168595,-2.45E-09,1.01E-06,117.8940337,1608
0.464872758,0.846333704,0.811296545,1.603026754,1.223895349,174,20,0.608694118,-1.85E-10,2.19E-06,15.52802378,987
0.251716662,0.689974742,0.960155103,1.906022748,0.908068015,93,11,-0.322085492,-4.07E-10,1.82E-06,30.36801391,414
0.679128576,0.746453584,0.943024635,1.626164062,0.950725897,276,32,-0.155284533,-1.90E-09,8.66E-07,138.0812478,1438
0.59611628,0.823666602,0.830762533,1.565437505,1.317456569,180,13,-0.111042949,-1.47E-10,1.97E-06,40.30525588,789
0.478344576,0.759610255,0.916710024,1.966665493,1.128689723,124,14,0.172519188,-3.90E-11,1.89E-06,25.3019673,842
0.890768182,0.777319327,0.912255541,1.628844841,1.068667736,218,59,0.026995813,5.70E-10,1.04E-06,183.9197455,1866
0.650631845,0.87159131,0.683794354,1.382607785,0.876026414,272,15,-0.062382534,-1.56E-10,2.27E-06,14.24880499,346
3.55843085,0.787061226,0.850061507,1.184194002,0.691042419,150,25,0.025352562,6.65E-11,5.74E-06,114.6345267,223
4.942276045,0.790236283,0.846407536,1.323958028,1.141604793,178,212,-0.026651565,1.41E-10,2.96E-06,354.0268178,1225
0.504474421,0.890932122,0.584722295,1.427165131,0.912710981,302,7,0.234996346,-2.09E-09,1.80E-06,15.17334816,935
0.500912404,0.751228303,0.906002204,1.681650234,0.932711647,139,11,0.159897296,1.01E-10,2.14E-06,26.25861435,397
1.829446551,0.788735252,0.889948729,1.758417287,1.138731003,453,12,0.186456547,2.97E-10,1.16E-06,210.8797871,1421
1.690471029,0.841599802,0.694431733,1.222460434,1.519913613,211,87,0.06908446,6.32E-11,4.40E-06,32.56802686,435
1.742369921,0.738861902,0.842309844,1.070600574,1.284540106,195,16,0.006886334,-7.92E-11,3.67E-06,33.8762988,564
3.535895965,0.767733651,0.821221525,1.229313694,1.369047903,419,65,-0.029345398,-8.95E-11,1.52E-06,125.5812017,1588
26.66548134,0.837510931,0.653576229,0.733361452,0.505386516,18,50,0.138237436,-1.67E-10,3.93E-05,88.11498961,87
1.911662921,0.859485562,0.659079604,1.247488674,1.552107412,288,12,-0.056310973,-4.80E-11,3.84E-06,31.89885718,164
10.59254862,0.87482642,0.656589678,1.422893106,1.287693691,82,50,0.05094173,-4.89E-10,4.10E-06,78.11303316,87
6.236959305,0.833560084,0.703009229,0.931688315,1.929900736,178,62,-0.006979865,1.02E-11,9.14E-06,132.4960916,107
1.898383185,0.817234971,0.826969422,1.150712034,0.843845334,216,21,-0.023744205,-7.16E-11,4.52E-06,36.28034359,441
3.689755607,0.836225143,0.804036421,1.071362744,1.072238372,389,61,-0.031190006,-8.73E-11,1.75E-06,95.37327722,1394
1.797519597,0.87777088,0.4530873,1.271604576,1.255312168,172,11,-0.061309538,-5.28E-11,3.83E-06,14.47681108,249
1.578778341,0.86842629,0.598507053,1.187353058,1.146059403,198,9,-0.069365861,5.11E-11,3.81E-06,16.82791265,611
1.872174558,0.88691531,0.54957678,1.362010127,1.754325079,334,31,-0.032625495,-4.90E-11,1.08E-06,35.19732897,1360
1.169380157,0.789104742,0.493606243,1.090762051,1.03455321,257,29,0.192071007,2.35E-10,2.66E-06,20.20672684,188
0.560971381,0.828802525,0.516422917,1.130381991,1.02044849,329,5,0.256118496,-3.13E-10,1.92E-06,15.36237396,383
0.870771801,0.828412792,0.506742058,1.235647156,1.10665587,610,30,0.0172338,1.82E-10,5.66E-07,28.40351299,1407
5.210641806,0.795868156,0.614776502,0.996045491,1.149459776,88,46,0.136913287,2.12E-10,1.03E-05,29.41930429,68
4.480794909,0.762865342,0.706720242,1.026435584,1.158278725,254,18,0.014736106,-6.52E-11,7.16E-06,36.99970708,146
6.780151522,0.801282872,0.689126265,1.181908913,0.949914239,474,50,-0.009349361,-1.28E-10,2.61E-06,96.48006323,1170
6.960992246,0.867417384,0.559031254,1.087173341,1.385974561,178,140,-0.125672309,3.33E-10,1.37E-05,128.5226128,172
2.364338962,0.860025564,0.691210346,1.147767456,1.103837906,180,37,-0.072032275,-1.12E-10,5.18E-06,57.85283251,154
3.385358205,0.880126748,0.654877305,1.228989826,1.075761647,304,139,-0.151315428,7.22E-11,1.93E-06,132.6971517,1178
1.533096404,0.886194286,0.690149148,1.071599297,0.628424056,182,20,-0.144187364,-2.53E-10,5.27E-06,76.51219973,146
1.000157789,0.735187807,0.938320113,1.694525039,0.91111253,70,21,-0.120722747,-5.03E-10,2.84E-06,44.73960756,513
0.924876797,0.989132057,-0.044979466,1.460594082,1.712330835,4786,334,-0.971966993,6.98E-09,4.27E-08,72.1074425,9586
0.977898874,0.990962512,0.069361265,1.487464541,2.155248928,410,159,-0.829417913,-0.990168084,4.47E-08,84.3834702,9655
1.346897259,0.988521858,0.11448824,1.154584745,1.351436122,36,16,1.663339663,-0.476568762,9.43E-08,250.0829131,6587
32.39262927,0.882124664,-0.561617076,1.36409096,0.972440325,1932,189,-0.075089632,-8.94E-10,5.14E-07,229.5774992,5082
0.548574169,0.876424481,-0.568803459,1.464544831,2.354543837,6848,21,0.260018815,1.30E-09,2.26E-08,33.84086232,25
1.678667829,0.936474247,-0.522159906,1.357851561,1.793563838,6323,45,0.160510101,1.75E-08,4.40E-08,64.22134732,5037
1.235872698,0.97750369,-0.012883018,1.709419206,1.124950059,1574,58,0.899193611,3.52E-09,7.33E-08,152.4567648,118
9.651195896,0.816088534,-0.204515915,1.014312187,0.773831381,570,946,-1.399964789,2.125642532,3.22E-07,274.2196328,9589
2.708147536,0.837655483,-0.723626361,2.324027083,2.334438981,6020,150,0.024570292,2.95E-10,3.79E-08,128.5109989,1672
20.20187004,0.822074493,-0.235373933,0.319059671,0.057203948,279,8979,-19.16455594,-21.03067395,3.97E-07,809.7820599,9915
1.272821457,0.969237266,-0.273436474,1.288762901,1.83847168,5036,45,1.117369933,4.19E-09,4.44E-08,137.404425,7210
1.037325454,0.979114364,0.099721393,1.100190055,0.85523551,1743,1040,0.474027963,-1.40534393,7.79E-08,172.1458068,6375
20.05602564,0.95190706,-0.216776831,1.491492278,1.195776392,924,783,0.243515241,1.69E-09,3.66E-07,375.481678,4407
269.5267807,0.936516284,-0.15650063,0.58319127,0.299555795,20,668,-0.087118044,-1.16E-09,9.54E-06,455.98732,7470
3.520980647,0.955914325,-0.453867912,2.054457541,2.20156486,6134,254,0.367302476,-5.42E-09,7.84E-08,135.9468625,4759
1.829188823,0.925660154,-0.400034148,1.326764162,2.258768329,6162,176,0.05225959,-3.12E-09,4.60E-08,82.64299019,7143
16.8306669,0.854885424,-0.40606648,1.325515551,1.040191787,1152,491,-0.234383432,-1.75E-10,2.69E-07,189.607138,3733
0.606290646,0.917552273,-0.316225105,1.33194099,1.178772227,5138,552,0.026505008,-3.01E-09,2.35E-08,26.15116423,4483
1.952696259,0.947268127,0.087935751,1.733270296,1.720710873,4362,91,-0.04543669,-8.31E-10,4.60E-08,67.93471799,4965
1.597006245,0.991423534,0.031248606,1.329858842,1.583556184,2648,57,-0.923835965,-3.34E-08,6.07E-08,116.5693469,9929
0.693463792,0.943468085,-0.411759416,1.301841132,1.40517474,3628,744,0.068592764,-3.48E-08,2.76E-08,42.37151134,5639
2.356460041,0.963617246,-0.14020712,1.086574712,0.94379296,866,156,1.144129658,-2.019218413,1.02E-07,299.8064541,6800
3.613748245,0.929252536,-0.222779267,1.451621899,1.207847444,1556,136,3.850992284,4.572108167,7.96E-08,268.2603468,4866
27.85192515,0.947205234,-0.212630568,1.147267529,0.537018288,116,821,-0.021173422,-3.42E-09,5.28E-07,380.1830015,7014
97.30320964,0.980134516,-0.422246499,0.097060686,0.004393565,114,9764,0.02648387,3.47E-10,1.60E-06,2186.263239,9944
6.104006041,0.864007888,-0.710230199,1.336799329,1.506476674,6686,82,0.052502712,8.31E-11,1.51E-07,134.1055877,3621
1.151557331,0.775566175,-0.497046266,1.171716257,1.702516236,5684,66,-0.121486772,-1.85E-10,3.81E-08,90.73247213,7447
2.804686218,0.964922452,-0.423148535,1.314805684,1.051751643,1998,381,0.065660628,-8.35E-10,8.66E-08,140.1150735,8302
80.7152192,0.964926797,0.119609613,0.853319711,0.723909874,4,846,1.857550896,0.532976493,6.47E-06,333.5655858,6135
0.843991843,0.913319265,-0.361552939,1.439226373,1.599861427,5926,323,-0.26442563,3.31E-09,2.83E-08,33.5874795,2226
9.280689712,0.913783928,-0.716057465,0.953386685,0.910928193,2106,690,0.095160618,-8.61E-10,2.51E-07,288.9024629,6498
0.768777406,0.894724646,0.518865679,1.499737171,2.182278052,2274,376,0.187705561,-4.28E-08,2.83E-08,54.03458966,2187
1.804118922,0.897265076,-0.479112688,1.24288678,1.559808977,3388,424,-0.157021237,5.15E-10,7.16E-08,180.9959982,8045
4.03152149,0.886349492,-0.323939577,1.50104585,2.026886486,5688,30,-0.113978112,-1.26E-09,6.85E-08,125.7789614,1337
3.296278608,0.897187755,-0.764166503,1.343164568,1.487015742,3780,339,0.121234978,-3.57E-09,9.13E-08,130.4809102,4163
2.582008108,0.961729932,-0.049803754,1.393197182,1.428181046,450,205,5.166879738,-0.470179588,1.14E-07,174.0338286,8511
5.986900877,0.972474857,-0.264505923,1.11808723,0.815974728,66,1609,-2.126916529,0.321651103,3.92E-07,198.9189554,5673
1.918176219,0.801638706,-0.609259823,1.422201095,1.542356072,5596,160,-0.382222148,-7.20E-10,6.36E-08,141.391188,3835
1.668006244,0.989751127,0.043885862,1.397799228,1.719796624,2978,129,-1.443707345,-9.47E-10,6.96E-08,112.0735218,3620
0.715884409,0.887312512,-0.348273154,1.166046073,1.41848461,5946,82,0.163770996,-5.60E-10,3.21E-08,50.24519873,5108
2.526035125,0.899021971,-0.8032517,1.13217803,1.391308638,6270,52,-0.248782249,9.43E-13,6.93E-08,135.9434333,7404
2.314305395,0.987783054,0.017838614,1.393358223,1.153818142,1068,401,0.444577679,0.296323137,1.13E-07,150.3849022,8693
2.134247629,0.881614455,-0.659070105,1.204043835,1.179201227,5532,143,-0.013281767,-3.57E-10,6.18E-08,212.2771349,1031
5.496077653,0.905982731,-0.475534403,1.366488816,2.122583262,5134,814,-0.060052943,-7.82E-10,1.05E-07,170.4706123,7194
2.066503934,0.899657054,-0.657265233,1.481465912,1.975487567,6738,174,-0.398402405,-4.11E-09,4.07E-08,96.13783267,1199
6.060584065,0.867252538,-0.520133429,0.775692765,0.611873657,862,1984,-0.005734298,1.87E-09,1.93E-07,681.2252576,8237
3.70352982,0.758355423,-0.895348034,1.801822543,2.287848038,2036,110,0.011212271,-9.47E-10,5.14E-08,176.8974657,4975
4.101690852,0.975961835,-0.219461229,1.576567659,1.258187185,4204,77,-0.712656926,-4.48E-09,1.07E-07,134.7373998,6307
1.072682414,0.949247856,0.054400017,1.506983725,1.894015366,3666,538,0.281244917,1.65E-10,3.18E-08,78.12440818,2528
10.26573041,0.897386283,0.23555809,1.509485968,1.998828303,1602,327,-0.104693125,-1.03E-09,2.77E-07,179.2737122,899
1.105612547,0.99039752,0.034294097,1.403757243,1.312198139,3138,1194,0.826622592,-0.274848284,5.62E-08,139.5182854,9849
37.56070401,0.818893751,-0.804435598,0.694443691,0.424384698,2980,1123,0.041834657,3.24E-09,4.76E-07,739.4664821,6349
1.256693706,0.801619523,-0.757047133,1.29521554,2.337713093,6446,114,0.07556893,6.82E-09,3.33E-08,71.16036543,1582
1.634101432,0.753675049,-0.88737713,2.556156684,3.266968497,6966,496,-0.046294916,-1.68E-08,2.14E-08,35.73403248,5352
4.995351836,0.957065074,-0.494548787,1.456250488,1.515093797,5446,95,0.247626206,5.41E-09,1.08E-07,171.9747917,2116
3.763420488,0.962271626,-0.351996994,1.418575806,1.065426806,292,61,1.686371468,-1.103324199,1.71E-07,198.5697936,4729
1.051495424,0.989515866,-0.044255792,1.163254906,1.703293742,962,68,1.239540061,3.02E-10,4.76E-08,81.80869178,8611
1.761186539,0.888849438,-0.513520801,0.919336467,0.736220403,6082,199,0.050848726,1.97E-09,8.74E-08,170.7839579,6248
1.511427459,0.885905846,-0.574568006,1.22062034,1.519177695,2376,892,0.035209501,1.07E-10,5.48E-08,167.0986117,3534
0.973956598,0.988591476,0.106360529,1.230161828,0.700071693,3628,171,1.622954062,-1.03E-09,7.64E-08,143.8177211,8528
5.470181536,0.884094035,0.626713439,0.510297959,0.130202004,144,1200,0.728078751,-8.199444937,6.55E-07,513.807237,6992
1.000774625,0.925706131,-0.56382607,1.196582001,1.467458486,6162,74,0.195575101,1.69E-09,4.08E-08,71.66750019,4648
3.249007218,0.921364486,-0.716018436,1.105291126,1.455787587,2750,166,0.044348307,-3.82E-09,7.62E-08,222.2890676,3744
2.610363161,0.8880909,-0.506946548,1.524075486,1.601246393,2972,539,-0.022850523,-8.16E-10,6.82E-08,198.8275451,4880
4.648133625,0.96859474,-0.367185813,1.049305594,0.951358189,1414,1841,0.324737875,-1.56E-08,1.66E-07,251.5377433,8256
0.736310494,0.987223065,-0.175023069,1.142833964,2.043576684,2910,240,-0.744916308,2.80E-12,3.87E-08,84.4009886,6093
1.381621148,0.983206166,-0.169845097,1.384951928,1.30520435,1856,908,-1.285971215,-3.345674238,5.51E-08,142.4502172,8892
3.398786248,0.955240398,-0.36444446,1.102552451,1.017212551,3458,1117,-0.233550369,-2.62E-09,1.49E-07,188.9834932,2984
2.79322519,0.882997269,0.562794789,1.591687286,2.006589935,608,102,-0.434681521,1.631555684,7.54E-08,156.1072082,6281
1.791386607,0.823570598,-0.204357009,0.862880321,0.833655748,2760,858,-0.194389516,4.63E-09,8.17E-08,228.9378731,6975
3.944825722,0.947545062,-0.52045424,1.761532552,1.472918543,2148,178,-0.196288562,-6.59E-09,9.07E-08,179.8578591,4941
4.000203591,0.95127914,-0.56430516,1.190677459,1.29402408,1766,383,-0.241945383,1.93E-09,1.25E-07,197.849978,4342
6.357381477,0.959267057,-0.438842396,1.405081745,1.067509075,978,663,-0.153659177,5.06E-09,1.77E-07,233.6202388,1727
4.087953225,0.984291451,0.103621405,0.764635696,0.475795818,380,871,-3.252323591,-2.351832612,3.20E-07,398.2310656,1278
5.040080565,0.975806055,-0.330992859,1.24828909,1.412390482,26,360,0.613987855,-2.98E-08,3.37E-07,167.516612,7968
3.482393229,0.966264365,-0.127618154,0.841062662,0.673544088,4636,27,-0.914001847,-1.50E-07,1.78E-07,321.7721988,4669
1.621320973,0.896606567,-0.713072287,1.025786042,1.731222733,6266,38,0.497143562,6.29E-08,5.20E-08,151.1356725,4207
1.203820383,0.813583436,-0.891898791,1.701478536,1.485723618,7910,66,0.023408262,-3.90E-10,2.50E-08,34.29556776,4981
0.700131295,0.867595204,-0.77348264,1.323481388,1.193757074,7558,33,0.223434648,3.66E-09,2.03E-08,36.42886666,7577
18.04988148,0.773643665,-0.711542267,0.84959818,0.360908534,2258,1866,-0.287577277,3.07E-09,3.88E-07,474.1020746,3771
1.311228099,0.990766688,-0.123919291,1.452890422,1.963006105,3838,103,0.11780157,5.55E-08,5.54E-08,94.62781475,2860
0.804800888,0.947035751,-0.147051737,1.565076408,1.215193354,5592,10,-0.172840809,-2.40E-09,3.08E-08,52.45118842,24
0.107327144,0.544664577,0.908980484,1.35011981,1.595650268,448,1599,-21.10379373,30.7418764,8.40E-09,393.6219812,6794
3.109526408,0.979285268,-0.206750396,1.185260725,0.932005623,4743,22,-0.403258507,-1.07E-10,1.41E-07,116.1780644,2084
2.018674212,0.962795016,-0.430466117,1.385142775,2.140358571,4382,244,0.180772122,-4.90E-07,5.85E-08,164.4409605,5519
